"","uid","X.x","stuNum2","X.y","gpa.all","X.x","DTW","X.y","stuNum"
"1","u00",1,0,1,2.863,1,98.2981686248496,1,0
"2","u02",2,0,2,3.505,2,0.48797442975112,2,0
"3","u03",3,0,3,3.303,3,0.0347419307996505,3,0
"4","u04",4,0,4,3.029,4,12.272232657815,4,0
"5","u05",5,0,5,3.679,5,1.47824581408463,5,0
"6","u07",6,0,6,3.474,6,0.648928692904559,6,0
"7","u08",7,0,7,3.705,7,0.279932013252223,7,64
"8","u09",8,0,8,3.806,8,2.52153600939062,8,0
"9","u10",9,0,9,3.667,9,0.0468045431663568,9,0
"10","u12",10,0,10,3.245,10,20.087237393852,10,0
"11","u13",11,61,11,3.202,11,1.64040069377092,11,61
"12","u14",12,0,12,3.293,12,3.77622564548144,12,64
"13","u15",13,0,13,2.815,13,11.55238998923,13,0
"14","u16",14,0,14,3.373,14,0.106900794482649,14,0
"15","u17",15,0,15,3.476,15,0.0724059091656414,15,0
"16","u18",16,0,16,3.474,16,2.70573568243697,16,0
"17","u19",17,0,17,3.947,17,0.1841763302134,17,0
"18","u20",18,0,18,3.404,18,0.054191332582241,18,0
"19","u22",19,0,19,3.889,19,94.4325442571509,19,0
"20","u23",20,58,20,3.505,20,0.0181846933336964,20,58
"21","u24",21,32,21,2.987,21,0.12835950556011,21,32
"22","u25",22,46,22,2.765,22,6.33590078725355,22,46
"23","u27",23,66,23,3.719,23,0.0506928864499993,23,66
"24","u30",24,64,24,3.93,24,34.2491761035732,24,64
"25","u31",25,62,25,3.808,25,8.08330833021914,25,62
"26","u32",26,49,26,3.826,26,4.12152574092567,26,49
"27","u33",27,47,27,2.815,27,0.0798655935407989,27,47
"28","u34",28,43,28,2.999,28,0.852162140353546,28,43
"29","u35",29,67,29,3.612,29,0.353844177795029,29,67
"30","u36",30,67,30,3.561,30,59.4534550955085,30,67
"31","u39",31,25,31,3.721,31,0.811181481840179,31,25
"32","u41",32,55,32,3.652,32,0.0672757250908856,32,55
"33","u42",33,52,33,3.222,33,0.836953344333574,33,52
"34","u43",34,58,34,3.79,34,9.08439588049602,34,58
"35","u44",35,62,35,3.111,35,0.274544606591582,35,62
"36","u45",36,47,36,3.811,36,0.82126077842729,36,47
"37","u46",37,55,37,3.646,37,4.89615396696815,37,55
"38","u47",38,49,38,3.241,38,0.821820860868207,38,49
"39","u49",39,57,39,3.625,39,7.14093832360018,39,57
"40","u50",40,39,40,3.231,40,0.0557337267481209,40,39
"41","u51",41,67,41,3.333,41,1.14223866075375,41,67
"42","u52",42,66,42,2.4,42,0.154060609413092,42,66
"43","u53",43,66,43,2.8,43,2.42464029885349,43,66
"44","u54",44,48,44,3.343,44,40.7005823378273,44,0
"45","u56",45,0,45,3.289,45,10.0869061050975,45,0
"46","u57",46,0,46,3.389,46,23.1501508239799,46,0
"47","u58",47,0,47,3.489,47,0.467115357722302,47,0
"48","u59",48,0,48,3.519,48,55.7816499803992,48,0
