"","uid","DTW"
"1","u00",98.2981686248496
"2","u02",0.48797442975112
"3","u03",0.0347419307996505
"4","u04",12.272232657815
"5","u05",1.47824581408463
"6","u07",0.648928692904559
"7","u08",0.279932013252223
"8","u09",2.52153600939062
"9","u10",0.0468045431663568
"10","u12",20.087237393852
"11","u13",1.64040069377092
"12","u14",3.77622564548144
"13","u15",11.55238998923
"14","u16",0.106900794482649
"15","u17",0.0724059091656414
"16","u18",2.70573568243697
"17","u19",0.1841763302134
"18","u20",0.054191332582241
"19","u22",94.4325442571509
"20","u23",0.0181846933336964
"21","u24",0.12835950556011
"22","u25",6.33590078725355
"23","u27",0.0506928864499993
"24","u30",34.2491761035732
"25","u31",8.08330833021914
"26","u32",4.12152574092567
"27","u33",0.0798655935407989
"28","u34",0.852162140353546
"29","u35",0.353844177795029
"30","u36",59.4534550955085
"31","u39",0.811181481840179
"32","u41",0.0672757250908856
"33","u42",0.836953344333574
"34","u43",9.08439588049602
"35","u44",0.274544606591582
"36","u45",0.82126077842729
"37","u46",4.89615396696815
"38","u47",0.821820860868207
"39","u49",7.14093832360018
"40","u50",0.0557337267481209
"41","u51",1.14223866075375
"42","u52",0.154060609413092
"43","u53",2.42464029885349
"44","u54",40.7005823378273
"45","u56",10.0869061050975
"46","u57",23.1501508239799
"47","u58",0.467115357722302
"48","u59",55.7816499803992
